,precision,recall,f1-score,support
ADI,0.9969742813918305,0.9850523168908819,0.9909774436090225,1338.0
BACK,1.0,1.0,1.0,847.0
DEB,0.9262295081967213,1.0,0.9617021276595744,339.0
LYM,0.998422712933754,0.998422712933754,0.998422712933754,634.0
MUC,0.9961240310077519,0.9932367149758454,0.9946782776971457,1035.0
MUS,0.8682432432432432,0.8682432432432432,0.8682432432432432,592.0
NORM,0.9526938239159002,0.9784075573549258,0.9653794940079894,741.0
STR,0.8501228501228502,0.8218527315914489,0.8357487922705314,421.0
TUM,0.9827727645611156,0.9716139497161395,0.9771615008156607,1233.0
accuracy,0.9676880222841225,0.9676880222841225,0.9676880222841225,0.9676880222841225
macro avg,0.952398135041463,0.9574254696340265,0.9547015102485467,7180.0
weighted avg,0.9677630119778884,0.9676880222841225,0.9676146845896292,7180.0
