,precision,recall,f1-score,support,model
ADI,0.1857318573185732,0.11285500747384156,0.1403998140399814,1338.0,ViT
BACK,0.10790464240903387,0.10153482880755609,0.10462287104622871,847.0,ViT
DEB,0.0547945205479452,0.12979351032448377,0.07705779334500876,339.0,ViT
LYM,0.08247422680412371,0.10094637223974763,0.09078014184397164,634.0,ViT
MUC,0.14609571788413098,0.11207729468599034,0.1268452706396938,1035.0,ViT
MUS,0.10218978102189781,0.14189189189189189,0.1188118811881188,592.0,ViT
NORM,0.11699507389162561,0.1282051282051282,0.12234385061171925,741.0,ViT
STR,0.06861499364675985,0.12826603325415678,0.08940397350993377,421.0,ViT
TUM,0.17396907216494845,0.10948905109489052,0.13439522150323543,1233.0,ViT
accuracy,0.11545961002785515,0.11545961002785515,0.11545961002785515,0.11545961002785515,ViT
macro avg,0.11541887618767098,0.11833990199752074,0.1116289797475435,7180.0,ViT
weighted avg,0.1326682459478651,0.11545961002785515,0.11918863340871748,7180.0,ViT
ADI,0.21549636803874092,0.13303437967115098,0.1645101663585952,1338.0,MedGemma
BACK,0.13256113256113256,0.12160566706021252,0.1268472906403941,847.0,MedGemma
DEB,0.062340966921119595,0.14454277286135694,0.08711111111111111,339.0,MedGemma
LYM,0.08957055214723926,0.11514195583596215,0.1007591442374051,634.0,MedGemma
MUC,0.16311166875784192,0.12560386473429952,0.14192139737991266,1035.0,MedGemma
MUS,0.09240506329113925,0.12331081081081081,0.10564399421128799,592.0,MedGemma
NORM,0.11910669975186104,0.12955465587044535,0.12411118293471235,741.0,MedGemma
STR,0.0743073047858942,0.14014251781472684,0.097119341563786,421.0,MedGemma
TUM,0.15335868187579213,0.09813463098134631,0.11968348170128586,1233.0,MedGemma
accuracy,0.12284122562674095,0.12284122562674095,0.12284122562674095,0.12284122562674095,MedGemma
macro avg,0.12247315979230677,0.12567458396003459,0.11863412334872117,7180.0,MedGemma
weighted avg,0.14076487559600095,0.12284122562674095,0.12685508008709595,7180.0,MedGemma
