,precision,recall,f1-score,support
ADI,0.13043478260869565,0.006726457399103139,0.01279317697228145,1338.0
BACK,0.023255813953488372,0.0011806375442739079,0.0022471910112359553,847.0
DEB,0.0,0.0,0.0,339.0
LYM,0.45021645021645024,0.9842271293375394,0.6178217821782178,634.0
MUC,0.06363636363636363,0.033816425120772944,0.04416403785488959,1035.0
MUS,0.13493397358943576,0.9493243243243243,0.23628337187302922,592.0
NORM,0.12690355329949238,0.033738191632928474,0.053304904051172705,741.0
STR,0.0,0.0,0.0,421.0
TUM,0.8116710875331565,0.49635036496350365,0.6160040261701056,1233.0
accuracy,0.26016713091922006,0.26016713091922006,0.26016713091922006,0.26016713091922006
macro avg,0.19345022498189804,0.2783737255913829,0.1758464989012147,7180.0
weighted avg,0.2395859576097712,0.26016713091922006,0.19433719846444608,7180.0
