,precision,recall,f1-score,support
ADI,0.9954510993176648,0.9813153961136024,0.9883327060594655,1338.0
BACK,1.0,1.0,1.0,847.0
DEB,0.9495798319327731,1.0,0.9741379310344828,339.0
LYM,0.9952904238618524,1.0,0.997639653815893,634.0
MUC,0.998046875,0.9874396135265701,0.9927149101505586,1035.0
MUS,0.8663446054750402,0.9087837837837838,0.8870568837592745,592.0
NORM,0.9591029023746702,0.9811066126855601,0.9699799866577719,741.0
STR,0.8886075949367088,0.833729216152019,0.8602941176470589,421.0
TUM,0.9844517184942717,0.975669099756691,0.980040733197556,1233.0
accuracy,0.9713091922005571,0.9713091922005571,0.9713091922005571,0.9713091922005571
macro avg,0.9596527834881089,0.9631159691131363,0.961132991369118,7180.0
weighted avg,0.9716320058131346,0.9713091922005571,0.9713164741941861,7180.0
