label,precision,recall,f1-score,support
ADI,0.92,0.92,0.92,50
BACK,0.9259259259259259,1.0,0.9615384615384615,50
DEB,1.0,0.82,0.9010989010989011,50
LYM,0.9803921568627451,1.0,0.99009900990099,50
MUC,0.7037037037037037,0.76,0.7307692307692308,50
MUS,0.851063829787234,0.8,0.8247422680412372,50
NORM,0.9361702127659575,0.88,0.9072164948453608,50
STR,0.6981132075471698,0.74,0.7184466019417476,50
TUM,0.8679245283018868,0.92,0.8932038834951457,50
accuracy,0.8711111111111111,0.8711111111111111,0.8711111111111111,450
macro avg,0.8759215072105137,0.8711111111111111,0.8719016501812304,450
weighted avg,0.0,0.0,0.8719016501812306,450
